nohup: ignoring input
timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W]
2025/04/22 20:15:22.192, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 16.26 W
2025/04/22 20:15:22.194, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 24.72 W
2025/04/22 20:15:23.195, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 16.23 W
2025/04/22 20:15:23.196, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 24.63 W
2025/04/22 20:15:24.197, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 16.14 W
2025/04/22 20:15:24.198, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 24.81 W
2025/04/22 20:15:25.198, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 16.25 W
2025/04/22 20:15:25.199, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 24.85 W
2025/04/22 20:15:26.200, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 16.44 W
2025/04/22 20:15:26.201, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 24.90 W
2025/04/22 20:15:27.202, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 16.88 W
2025/04/22 20:15:27.203, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 24.87 W
2025/04/22 20:15:28.204, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 16.90 W
2025/04/22 20:15:28.204, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 24.74 W
2025/04/22 20:15:29.205, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 16.52 W
2025/04/22 20:15:29.206, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 24.71 W
2025/04/22 20:15:30.207, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 16.33 W
2025/04/22 20:15:30.208, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 24.89 W
2025/04/22 20:15:31.209, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 16.18 W
2025/04/22 20:15:31.210, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 25.09 W
2025/04/22 20:15:32.211, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 16.45 W
2025/04/22 20:15:32.211, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 25.05 W
2025/04/22 20:15:33.212, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 16.53 W
2025/04/22 20:15:33.213, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 25.07 W
2025/04/22 20:15:34.214, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 16.28 W
2025/04/22 20:15:34.215, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 25.22 W
2025/04/22 20:15:35.216, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 16.14 W
2025/04/22 20:15:35.217, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 25.46 W
2025/04/22 20:15:36.217, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 16.49 W
2025/04/22 20:15:36.218, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 25.32 W
2025/04/22 20:15:37.219, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 16.87 W
2025/04/22 20:15:37.220, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 24.90 W
2025/04/22 20:15:38.221, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 17.18 W
2025/04/22 20:15:38.222, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 24.80 W
2025/04/22 20:15:39.223, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 17.16 W
2025/04/22 20:15:39.224, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 24.73 W
2025/04/22 20:15:40.224, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 16.74 W
2025/04/22 20:15:40.225, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 24.49 W
2025/04/22 20:15:41.226, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 16.14 W
2025/04/22 20:15:41.227, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 24.50 W
2025/04/22 20:15:42.228, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 15.90 W
2025/04/22 20:15:42.229, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 24.65 W
2025/04/22 20:15:43.230, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 16.06 W
2025/04/22 20:15:43.231, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 24.59 W
2025/04/22 20:15:44.232, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 16.16 W
2025/04/22 20:15:44.233, 0 %, 0 %, 24564 MiB, 0 MiB, 24217 MiB, 33, 24.66 W
